Epoch, -2, mode, training, obj values, 4.738955759381255, obj std, 3.895111370802114 
Epoch, -2, mode, testing, obj values, 4.837995192656915, obj std, 3.488109384707376 
Epoch, -1, mode, training, obj values, 6.0211820213745035, obj std, 4.347220296619929 
Epoch, -1, mode, testing, obj values, 6.460520903766155, obj std, 3.6927170928892212 
Epoch, 0, mode, training, obj values, 6.010094896828135, obj std, 4.360672302642342 
Epoch, 0, mode, testing, obj values, 6.53642037337025, obj std, 3.709917842485631 
Epoch, 1, mode, training, obj values, 5.982070982890824, obj std, 4.356007052018228 
Epoch, 1, mode, testing, obj values, 6.493422152101994, obj std, 3.7268703848264795 
Epoch, 2, mode, training, obj values, 5.973260541943213, obj std, 4.369408437177503 
Epoch, 2, mode, testing, obj values, 6.495263661940893, obj std, 3.818643727573825 
Epoch, 3, mode, training, obj values, 5.915478934471806, obj std, 4.320387721072573 
Epoch, 3, mode, testing, obj values, 6.502557266751925, obj std, 3.941162946367091 
Epoch, 4, mode, training, obj values, 5.924930964472393, obj std, 4.315419735832816 
Epoch, 4, mode, testing, obj values, 6.507726433128118, obj std, 3.9636202320821576 
Epoch, 5, mode, training, obj values, 5.888220614567399, obj std, 4.347010888102535 
Epoch, 5, mode, testing, obj values, 6.426977544029554, obj std, 3.9617047062165067 
Epoch, 6, mode, training, obj values, 5.878499282275637, obj std, 4.3248414007732014 
Epoch, 6, mode, testing, obj values, 6.4123373235265415, obj std, 3.9878177009366778 
Epoch, 7, mode, training, obj values, 5.911203176528216, obj std, 4.331120449861904 
Epoch, 7, mode, testing, obj values, 6.367022052407265, obj std, 4.024971810239706 
Epoch, 8, mode, training, obj values, 5.863581591161589, obj std, 4.337001205076509 
Epoch, 8, mode, testing, obj values, 6.333658702671528, obj std, 4.037362303704959 
Epoch, 9, mode, training, obj values, 5.900218823055426, obj std, 4.31803699648543 
Epoch, 9, mode, testing, obj values, 6.47507454380393, obj std, 4.120842685384733 
