Epoch, -2, mode, training, obj values, 4.5057353035639975, obj std, 3.912650503813721 
Epoch, -2, mode, testing, obj values, 4.598942404836416, obj std, 4.159281842522036 
Epoch, -1, mode, training, obj values, 5.887888848218136, obj std, 4.376214503962689 
Epoch, -1, mode, testing, obj values, 6.2410120449587705, obj std, 4.62707200246833 
Epoch, 0, mode, training, obj values, 5.843068857723847, obj std, 4.367525866394191 
Epoch, 0, mode, testing, obj values, 6.2025257059931755, obj std, 4.697867363314069 
Epoch, 1, mode, training, obj values, 5.824981492329389, obj std, 4.355240471376369 
Epoch, 1, mode, testing, obj values, 6.202448204383254, obj std, 4.698087248884938 
Epoch, 2, mode, training, obj values, 5.825401062485762, obj std, 4.3552180100851405 
Epoch, 2, mode, testing, obj values, 6.202556528039277, obj std, 4.697731811490308 
Epoch, 3, mode, training, obj values, 5.824906321289018, obj std, 4.355133197588548 
Epoch, 3, mode, testing, obj values, 6.202512966282666, obj std, 4.697826863437334 
Epoch, 4, mode, training, obj values, 5.823716968009248, obj std, 4.354161997776192 
Epoch, 4, mode, testing, obj values, 6.208143565244972, obj std, 4.696162160415267 
Epoch, 5, mode, training, obj values, 5.824433062653989, obj std, 4.35520721240301 
Epoch, 5, mode, testing, obj values, 6.207390688210726, obj std, 4.695851111876378 
Epoch, 6, mode, training, obj values, 5.825075870766304, obj std, 4.355070255275743 
Epoch, 6, mode, testing, obj values, 6.2078780957311395, obj std, 4.6962247873759315 
Epoch, 7, mode, training, obj values, 5.824673917861656, obj std, 4.355383234657139 
Epoch, 7, mode, testing, obj values, 6.208129648528993, obj std, 4.695789763523305 
Epoch, 8, mode, training, obj values, 5.823918081088923, obj std, 4.355227448018914 
Epoch, 8, mode, testing, obj values, 6.207369103990495, obj std, 4.696609308336989 
Epoch, 9, mode, training, obj values, 5.824030797099694, obj std, 4.355167436447443 
Epoch, 9, mode, testing, obj values, 6.207795771844685, obj std, 4.696183438344838 
Epoch, 10, mode, training, obj values, 5.824727927339263, obj std, 4.355135556902272 
Epoch, 10, mode, testing, obj values, 6.207913845665753, obj std, 4.695978075338232 
Epoch, 11, mode, training, obj values, 5.823929938846268, obj std, 4.355281237736145 
Epoch, 11, mode, testing, obj values, 6.267884509526193, obj std, 4.6872645478956905 
Epoch, 12, mode, training, obj values, 5.828323182933964, obj std, 4.359803615195478 
Epoch, 12, mode, testing, obj values, 6.267960298769176, obj std, 4.6871061508633565 
Epoch, 13, mode, training, obj values, 5.842213791655377, obj std, 4.374743376757043 
Epoch, 13, mode, testing, obj values, 6.267641796283424, obj std, 4.687223093514553 
Epoch, 14, mode, training, obj values, 5.828113949894905, obj std, 4.3598014600292645 
Epoch, 14, mode, testing, obj values, 6.267601464465261, obj std, 4.68718899465316 
Epoch, 15, mode, training, obj values, 5.8281673996429895, obj std, 4.359829445199457 
Epoch, 15, mode, testing, obj values, 6.267524503953755, obj std, 4.687104900078725 
Epoch, 16, mode, training, obj values, 5.828113071266562, obj std, 4.359729786722141 
Epoch, 16, mode, testing, obj values, 6.267593017034232, obj std, 4.687141877754829 
Epoch, 17, mode, training, obj values, 5.828178429547697, obj std, 4.359704667017564 
Epoch, 17, mode, testing, obj values, 6.267657662592828, obj std, 4.687113991016935 
Epoch, 18, mode, training, obj values, 5.828005170575343, obj std, 4.359855855382552 
Epoch, 18, mode, testing, obj values, 6.267895967252553, obj std, 4.687037107612878 
Epoch, 19, mode, training, obj values, 5.842231474802829, obj std, 4.371352456324548 
Epoch, 19, mode, testing, obj values, 6.267847406119108, obj std, 4.687120156499328 
