training obj, non-robust, two-stage, 0.5642429461081823,0.5788254395127297,0.5658302817493677,0.5650969434529542,0.5654681007067363,0.5646715520570675,0.565292201563716,0.5652860123664141,0.5658022485673427,0.5657092435906331,0.564851737767458,0.5653461342056593
training obj, non-robust, decision-focused, 0.5642429461081823,0.5861478060483932,0.5661021741727988,0.5658485768983762,0.5646577935665846,0.5637252209087212,0.5606133196502924,0.557150359203418,0.5586087577044964,0.5583996972690026,0.5586443008234103,0.5588140450417995
training obj, robust, two-stage, 0.502620458851258,0.568362119793892,0.5668530236929655,0.5311665557324886,0.5059377198417981,0.5063730982442697,0.5055856732030709,0.5067783759286006,0.5063058820863565,0.5058414537459612,0.5044153319050868,0.5056251103679339
training obj, robust, decision-focused, 0.502620458851258,0.5586458673079808,0.5665091591576735,0.5452237227310737,0.5375982955098152,0.5359789320578178,0.5363154406348865,0.5368331777552764,0.5358987002323071,0.5359015683333079,0.5349970940500498,0.536294340963165
testing obj, non-robust, two-stage, 0.5563925325870513,0.5690669894218445,0.5484189480543137,0.5598821491003036,0.5599835813045502,0.5499005138874054,0.5595801323652267,0.544864010810852,0.5524630934000015,0.5589934974908829,0.5526483595371247,0.5599303930997849
testing obj, non-robust, decision-focused, 0.5563925325870513,0.5756265878677368,0.5517749965190888,0.5599609315395355,0.5567608058452607,0.5590879678726196,0.551877823472023,0.5532276898622512,0.541024899482727,0.5527155488729477,0.5518281847238541,0.5557902812957763
testing obj, robust, two-stage, 0.49013219177722933,0.5599289417266846,0.5573215693235397,0.5047817140817642,0.4902750998735428,0.4984557807445526,0.49017859995365143,0.49018085598945615,0.4903146028518677,0.49011418521404265,0.49003745913505553,0.49009094536304476
testing obj, robust, decision-focused, 0.49013219177722933,0.5515518069267273,0.5602605402469635,0.5303668171167374,0.530718982219696,0.5304544746875763,0.5308148920536041,0.5309224843978881,0.5304473847150802,0.5302415400743484,0.5303456991910934,0.542600131034851
training obj, non-robust, two-stage, 0.5683333292603493,0.581091666718324,0.5683333292603493,0.5683333292603493,0.5683333292603493,0.5683333292603493,0.5683333292603493
training obj, non-robust, decision-focused, 0.5683333292603493,0.5826214795311292,0.568593626221021,0.5683333292603493,0.5683333292603493,0.5683333292603493,0.5683333292603493
training obj, robust, two-stage, 0.5028156245748202,0.568285379310449,0.5136588980754216,0.5028185459474722,0.5028172947466374,0.5028168212622404,0.5028165583809217
