training obj, non-robust, two-stage, 11.451883234381675,11.345941691994668,11.348083785772324,11.357564125061035,11.371250415444374,11.377486490011215,11.369868444800376
training obj, non-robust, decision-focused, 11.451883234381675,11.388984565734864,11.353919669389725,11.362232721447945,11.36230194568634,11.362309907078743,11.36231243789196
training obj, robust, two-stage, 10.14109222739935,12.168961046040058,11.967611613869668,11.909047878086566,11.782714370787144,11.632578907608986,11.513647553622723
training obj, robust, decision-focused, 10.14109222739935,12.093267457485199,11.613928789794445,11.486485346853733,11.423584701120854,11.40663751512766,11.395888189077377
testing obj, non-robust, two-stage, 12.009988881349564,11.918864580392837,11.907833086252213,11.924466990232467,11.90407920718193,11.911394222974778,11.911838604211807
testing obj, non-robust, decision-focused, 12.009988881349564,11.927073532342911,11.92704584479332,11.927098659276963,11.92707957148552,11.927079783678055,11.927079492807389
testing obj, robust, two-stage, 10.602970451116562,12.656240108013153,12.441945220232009,12.23817620754242,12.14125586628914,11.937396146059037,11.848430690765381
testing obj, robust, decision-focused, 10.602970451116562,12.599878758192062,11.956470425128936,12.078968778848648,12.122465320825576,12.02577689766884,12.081636818647384
training obj, non-robust, two-stage, 16.31908359467983,16.31739297449589,16.31739296257496,16.31739297568798,16.317392969727518,16.31739298403263,16.317392986416817
training obj, non-robust, decision-focused, 16.31908359467983,16.31739296257496,16.317392994761466,16.317392963767052,16.317392973303797,16.317392961382865,16.31739295899868
training obj, robust, two-stage, 16.090376833677293,16.352739984989167,16.352239286005496,16.351623699963092,16.351131921708586,16.357079414725305,16.32263117700815
training obj, robust, decision-focused, 16.090376833677293,16.352924677729607,16.351912845373153,16.35453040868044,16.355149858295917,16.355281392633916,16.355244589447974
testing obj, non-robust, two-stage, 15.21009952545166,15.14001005411148,15.140010030269623,15.140010025501251,15.140010025501251,15.140010058879852,15.140010030269623
testing obj, non-robust, decision-focused, 15.21009952545166,15.140010039806366,15.14001004934311,15.140010063648225,15.140010035037994,15.140010044574737,15.140010030269623
testing obj, robust, two-stage, 14.829447934627533,15.299599071741104,15.29725503206253,15.296659123897552,15.29418914437294,15.222333283424378,15.148774330615998
testing obj, robust, decision-focused, 14.829447934627533,15.299591090679169,15.289813393354416,15.290218408107757,15.290261244773864,15.29030019402504,15.290221923589707
training obj, non-robust, two-stage, 13.109313898682593,13.518890196681022,13.240328159332275,13.227697370052338,13.160352938175201,13.247572348713875,13.219851739406586
training obj, non-robust, decision-focused, 13.109313898682593,13.089834968447684,13.11964707493782,13.148675107955933,13.11955262184143,13.110786827802658,13.107508813142777
training obj, robust, two-stage, 11.818521323800088,13.346802125573157,13.327495023310185,13.313207914531231,13.194188222885131,13.06943645298481,12.944768517911434
training obj, robust, decision-focused, 11.818521323800088,13.345977376997471,13.210945162773132,13.142658222615719,13.205853773057461,13.209551145136356,13.190736178457737
testing obj, non-robust, two-stage, 12.828485209941864,13.223900043964386,13.091617062091828,12.991595513820648,12.831968078613281,12.915573801994324,12.97882894039154
testing obj, non-robust, decision-focused, 12.828485209941864,12.742553489208222,12.86140259027481,12.85314476966858,12.842408058643342,12.836231725215912,12.812251257896424
testing obj, robust, two-stage, 11.773849902153016,13.110346924066544,13.108559427261353,13.061206325292588,12.969649547338486,12.784570090770721,12.651435965299607
testing obj, robust, decision-focused, 11.773849902153016,13.110020895004272,12.940399433374404,12.941892582178117,12.982931660413742,13.114996455907821,13.051080813407898
training obj, non-robust, two-stage, 13.13011005938053,12.889129939079284,12.847182998657226,12.795447479486466,12.755857335329056,12.713982805609703,12.739769711494446
training obj, non-robust, decision-focused, 13.13011005938053,13.083243470191956,12.705967367887498,12.673541836738586,12.681693110466004,12.683537581562996,12.687513034939766
training obj, robust, two-stage, 11.609644065499305,13.18407785385847,13.059266918599606,13.029551750421524,12.956654677093029,12.810575102567674,12.70657469600439
training obj, robust, decision-focused, 11.609644065499305,13.142523598074913,12.859361310005188,12.808604844510555,12.82597120732069,12.827394794821739,12.8525515884161
testing obj, non-robust, two-stage, 12.816491134166718,12.87132229089737,12.791791763305664,12.781994423866273,12.779902076721191,12.783711323738098,12.755755331516266
testing obj, non-robust, decision-focused, 12.816491134166718,12.985564172267914,12.716516864299773,12.706551988124847,12.709340345859527,12.713018848896027,12.712391574382782
testing obj, robust, two-stage, 11.604503769874572,13.315514529943465,13.166154633760453,13.123557357788085,12.980910254716873,12.770209492444993,12.781005048751831
testing obj, robust, decision-focused, 11.604503769874572,13.264465714693069,12.792939968109131,12.80363272190094,12.974698702096939,12.974290161132812,12.851206395626068
training obj, non-robust, two-stage, 15.606227594316005,15.601617526710033,15.601617514193059,15.601617528498172,15.601617524325848,15.601617530286312,15.601617527902127
training obj, non-robust, decision-focused, 15.606227594316005,15.601617531180382,15.601617520153523,15.601617524921894,15.60161750882864,15.601617526710033,15.601617513000965
training obj, robust, two-stage, 15.488773082196712,15.666939941644669,15.658372786045074,15.651578098237515,15.64699569016695,15.612343724370003,15.591600977182388
training obj, robust, decision-focused, 15.488773082196712,15.665449390113354,15.590763761401176,15.606628578603267,15.599470191895962,15.592200016081334,15.610550467073917
testing obj, non-robust, two-stage, 16.331188811063768,16.316265810728073,16.316265796422957,16.316265786886216,16.316265815496443,16.316265810728073,16.31626580119133
testing obj, non-robust, decision-focused, 16.331188811063768,16.316265820264817,16.31626580119133,16.316265798807144,16.316265810728073,16.316265810728073,16.316265825033188
testing obj, robust, two-stage, 16.223948303461075,16.407732120752335,16.392831480503084,16.392464505434035,16.38814666390419,16.369468256235123,16.326816762685777
