Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 9.010814009110133, loss std, 1.7484294168301233 
Epoch, -1, mode, testing, loss, 9.139921720822652, loss std, 1.8795643600237504 
Epoch, 0, mode, training, loss, 9.003364247083663, loss std, 1.7472876679041596 
Epoch, 0, mode, testing, loss, 9.125414085388183, loss std, 1.875534363891911 
Epoch, 1, mode, training, loss, 8.98812104066213, loss std, 1.7448244061953804 
Epoch, 1, mode, testing, loss, 9.112581515312195, loss std, 1.8724800229120118 
Epoch, 2, mode, training, loss, 8.976396151383717, loss std, 1.7422595105840841 
Epoch, 2, mode, testing, loss, 9.098973242441813, loss std, 1.8701920025472905 
Epoch, 3, mode, training, loss, 8.964521455764771, loss std, 1.7400615433326243 
Epoch, 3, mode, testing, loss, 9.085646176338196, loss std, 1.8691064360959366 
Epoch, 4, mode, training, loss, 8.947228171428044, loss std, 1.7354746403881767 
Epoch, 4, mode, testing, loss, 9.057285539309184, loss std, 1.8643925828666792 
Epoch, 5, mode, training, loss, 8.918892937898637, loss std, 1.7299961837977065 
Epoch, 5, mode, testing, loss, 9.0270565032959, loss std, 1.8586152233489086 
Epoch, 6, mode, training, loss, 8.88636998931567, loss std, 1.7224151312877718 
Epoch, 6, mode, testing, loss, 8.991576759020488, loss std, 1.8525550736185132 
Epoch, 7, mode, training, loss, 8.853570479154588, loss std, 1.7156596112582467 
Epoch, 7, mode, testing, loss, 8.959049272537232, loss std, 1.8463535186203333 
Epoch, 8, mode, training, loss, 8.828064930438995, loss std, 1.7107416742365542 
Epoch, 8, mode, testing, loss, 8.936406477292378, loss std, 1.8418217699105868 
Epoch, 9, mode, training, loss, 8.804459035396576, loss std, 1.7057937287705758 
Epoch, 9, mode, testing, loss, 8.908142193158467, loss std, 1.834974222756241 
