Epoch, 0, mode, training, obj values, 0.5672647271305322, obj std, 0.09645877810630162 
Epoch, 0, mode, testing, obj values, 0.5629684830705325, obj std, 0.09497253241979572 
Epoch, 1, mode, training, obj values, 0.5672061819583177, obj std, 0.09655261408714907 
Epoch, 1, mode, testing, obj values, 0.5629375477631887, obj std, 0.09498788376212722 
Epoch, 2, mode, training, obj values, 0.5670956443995238, obj std, 0.09665528515796683 
Epoch, 2, mode, testing, obj values, 0.5625883902112643, obj std, 0.09533267280256733 
Epoch, 3, mode, training, obj values, 0.5401495610674222, obj std, 0.12292878027517291 
Epoch, 3, mode, testing, obj values, 0.5340940068165462, obj std, 0.12110375852754988 
Epoch, 4, mode, training, obj values, 0.5343532460431258, obj std, 0.12602652465438047 
Epoch, 4, mode, testing, obj values, 0.5338758776585261, obj std, 0.12108430963253866 
Epoch, 5, mode, training, obj values, 0.5342247658719619, obj std, 0.12602329700320755 
Epoch, 5, mode, testing, obj values, 0.5337903494636218, obj std, 0.1210991938440832 
Epoch, 6, mode, training, obj values, 0.534145376458764, obj std, 0.12602956227061118 
Epoch, 6, mode, testing, obj values, 0.5337191204229991, obj std, 0.12109851008955609 
Epoch, 7, mode, training, obj values, 0.5340699500093857, obj std, 0.12603514087116113 
Epoch, 7, mode, testing, obj values, 0.5336453944444657, obj std, 0.12109331360572498 
Epoch, 8, mode, training, obj values, 0.5339871356884639, obj std, 0.1260356759264496 
Epoch, 8, mode, testing, obj values, 0.5335679059227307, obj std, 0.12110340034805914 
Epoch, 9, mode, training, obj values, 0.5339070814351241, obj std, 0.12603202291731835 
Epoch, 9, mode, testing, obj values, 0.5334804673989614, obj std, 0.12107375906408478 
