Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 4.190464816490809, loss std, 0.26346741473159485 
Epoch, -1, mode, testing, loss, 4.200693047046661, loss std, 0.21481447884720822 
Epoch, 0, mode, training, loss, 4.19729107717673, loss std, 0.26941459464469064 
Epoch, 0, mode, testing, loss, 4.271678952376048, loss std, 0.2227547143413154 
Epoch, 1, mode, training, loss, 4.407082122564316, loss std, 0.4681061392138043 
Epoch, 1, mode, testing, loss, 4.936805709203084, loss std, 0.5212350263152865 
Epoch, 2, mode, training, loss, 5.828970724344254, loss std, 1.2362512953977955 
Epoch, 2, mode, testing, loss, 7.581641324361166, loss std, 1.166829611338269 
Epoch, 3, mode, training, loss, 8.456132795413335, loss std, 1.6710598699105603 
Epoch, 3, mode, testing, loss, 9.849632779757181, loss std, 1.5013336779456579 
Epoch, 4, mode, training, loss, 9.845773986975352, loss std, 1.8187110589953965 
Epoch, 4, mode, testing, loss, 10.602594176928202, loss std, 1.5813037911978398 
Epoch, 5, mode, training, loss, 10.303954168160756, loss std, 1.8587407120326067 
Epoch, 5, mode, testing, loss, 10.889295673370361, loss std, 1.6061844910040481 
Epoch, 6, mode, training, loss, 10.505810340245565, loss std, 1.8859171036159998 
Epoch, 6, mode, testing, loss, 11.050960493087768, loss std, 1.618584307990085 
Epoch, 7, mode, training, loss, 10.611986521879832, loss std, 1.9019762553528305 
Epoch, 7, mode, testing, loss, 11.127312485376994, loss std, 1.6250112006807755 
Epoch, 8, mode, training, loss, 10.64361485640208, loss std, 1.9050221519540353 
Epoch, 8, mode, testing, loss, 11.141421858469645, loss std, 1.625018072746002 
