Epoch, -2, mode, training, loss, 0.006388001929705448, loss std, 0.003974342789830024 
Epoch, -2, mode, testing, loss, 0.007457943616706568, loss std, 0.0039641295722539684 
Epoch, -1, mode, training, loss, 9.11643783847491, loss std, 1.783574174528837 
Epoch, -1, mode, testing, loss, 9.27120972474416, loss std, 1.8962778320474947 
Epoch, 0, mode, training, loss, 8.995037045081457, loss std, 1.7575925130143404 
Epoch, 0, mode, testing, loss, 8.9302241563797, loss std, 1.834233475519573 
Epoch, 1, mode, training, loss, 8.488721118370693, loss std, 1.668382748454695 
Epoch, 1, mode, testing, loss, 8.35989270210266, loss std, 1.7043601860049187 
Epoch, 2, mode, training, loss, 8.162004699309668, loss std, 1.5884025627045069 
Epoch, 2, mode, testing, loss, 8.259135099252065, loss std, 1.682927659217003 
Epoch, 3, mode, training, loss, 8.129783180356025, loss std, 1.579055771660752 
Epoch, 3, mode, testing, loss, 8.249418425559998, loss std, 1.6774084688003728 
Epoch, 4, mode, training, loss, 8.120485137899717, loss std, 1.5809925566091756 
Epoch, 4, mode, testing, loss, 8.253379392623902, loss std, 1.6801302576201924 
Epoch, 5, mode, training, loss, 8.122678545117378, loss std, 1.5781191296541783 
Epoch, 5, mode, testing, loss, 8.244308789571127, loss std, 1.679249811537778 
Epoch, 6, mode, training, loss, 8.120194020867348, loss std, 1.580447641605432 
Epoch, 6, mode, testing, loss, 8.247615631421407, loss std, 1.6774554643007675 
Epoch, 7, mode, training, loss, 8.119385628898938, loss std, 1.5829529265267956 
Epoch, 7, mode, testing, loss, 8.24386886358261, loss std, 1.6762391013405982 
Epoch, 8, mode, training, loss, 8.12665339410305, loss std, 1.5791378566239977 
Epoch, 8, mode, testing, loss, 8.244231796264648, loss std, 1.6761183248190212 
Epoch, 9, mode, training, loss, 8.124561596910159, loss std, 1.5771987682506095 
Epoch, 9, mode, testing, loss, 8.246216003100077, loss std, 1.6770446545646478 
