Epoch, -2, mode, training, obj values, 4.738519294684132, obj std, 3.896228881216061 
Epoch, -2, mode, testing, obj values, 4.8425059368213015, obj std, 3.4916641852994275 
Epoch, -1, mode, training, obj values, 6.007558646984398, obj std, 4.376690443194077 
Epoch, -1, mode, testing, obj values, 6.537580427527428, obj std, 3.7053856696403815 
Epoch, 0, mode, training, obj values, 5.995363070132831, obj std, 4.368496829043386 
Epoch, 0, mode, testing, obj values, 6.530866153538227, obj std, 3.699931365978156 
Epoch, 1, mode, training, obj values, 5.963965713729461, obj std, 4.351618824576585 
Epoch, 1, mode, testing, obj values, 6.515364126861096, obj std, 3.693195035892136 
Epoch, 2, mode, training, obj values, 5.962834420055151, obj std, 4.346228363126165 
Epoch, 2, mode, testing, obj values, 6.507044100264708, obj std, 3.7109269453370053 
Epoch, 3, mode, training, obj values, 5.985477735723058, obj std, 4.354219436438609 
Epoch, 3, mode, testing, obj values, 6.458887046078841, obj std, 3.654612312888998 
Epoch, 4, mode, training, obj values, 5.979837759770453, obj std, 4.348327852370008 
Epoch, 4, mode, testing, obj values, 6.445902037868897, obj std, 3.689508588704459 
Epoch, 5, mode, training, obj values, 5.994974428974092, obj std, 4.369350481826505 
Epoch, 5, mode, testing, obj values, 6.4780588629345095, obj std, 3.694435161299495 
Epoch, 6, mode, training, obj values, 5.965181871814033, obj std, 4.348677245830522 
Epoch, 6, mode, testing, obj values, 6.443250478804112, obj std, 3.6696694725636005 
Epoch, 7, mode, training, obj values, 5.964361834277709, obj std, 4.350847290836735 
Epoch, 7, mode, testing, obj values, 6.4817974162598455, obj std, 3.6818380719876127 
Epoch, 8, mode, training, obj values, 5.96653630323708, obj std, 4.34841360259385 
Epoch, 8, mode, testing, obj values, 6.439830589542786, obj std, 3.6601311585223346 
Epoch, 9, mode, training, obj values, 5.958329910971225, obj std, 4.344675856054509 
Epoch, 9, mode, testing, obj values, 6.485394163429737, obj std, 3.668541977772627 
