Epoch, -2, mode, training, obj values, 4.504262745636515, obj std, 3.912491940271277 
Epoch, -2, mode, testing, obj values, 4.597594037279487, obj std, 4.159924075151357 
Epoch, -1, mode, training, obj values, 5.926644354695454, obj std, 4.4351450726638895 
Epoch, -1, mode, testing, obj values, 6.174842788986862, obj std, 4.658457080229374 
Epoch, 0, mode, training, obj values, 5.92102688160725, obj std, 4.423094446298074 
Epoch, 0, mode, testing, obj values, 6.150686544291675, obj std, 4.593189664606223 
Epoch, 1, mode, training, obj values, 5.875428462428972, obj std, 4.349703393471366 
Epoch, 1, mode, testing, obj values, 6.188490081690252, obj std, 4.564612552066888 
Epoch, 2, mode, training, obj values, 5.883833165708929, obj std, 4.345173633774102 
Epoch, 2, mode, testing, obj values, 6.139684801325202, obj std, 4.556046626833358 
Epoch, 3, mode, training, obj values, 5.87797049744986, obj std, 4.35312485023049 
Epoch, 3, mode, testing, obj values, 6.214774085842073, obj std, 4.599633196996145 
Epoch, 4, mode, training, obj values, 5.891294840858318, obj std, 4.353430791858068 
Epoch, 4, mode, testing, obj values, 6.175369114093482, obj std, 4.567960847013914 
Epoch, 5, mode, training, obj values, 5.87258548064623, obj std, 4.340093232329958 
Epoch, 5, mode, testing, obj values, 6.182315470129251, obj std, 4.5875069921256735 
Epoch, 6, mode, training, obj values, 5.88652003748808, obj std, 4.3576018964421515 
Epoch, 6, mode, testing, obj values, 6.189595745652914, obj std, 4.589539813596437 
Epoch, 7, mode, training, obj values, 5.883078732895665, obj std, 4.349541060441081 
Epoch, 7, mode, testing, obj values, 6.192082945369184, obj std, 4.599087361590726 
Epoch, 8, mode, training, obj values, 5.882708263620734, obj std, 4.350511804973991 
Epoch, 8, mode, testing, obj values, 6.163152544163167, obj std, 4.575806236992697 
Epoch, 9, mode, training, obj values, 5.897871907982044, obj std, 4.377280380723723 
Epoch, 9, mode, testing, obj values, 6.178946847990155, obj std, 4.579263957140179 
Epoch, 10, mode, training, obj values, 5.87987654519733, obj std, 4.345505058485083 
Epoch, 10, mode, testing, obj values, 6.1819109426438805, obj std, 4.573250612120327 
Epoch, 11, mode, training, obj values, 5.882256253664382, obj std, 4.348066715020606 
Epoch, 11, mode, testing, obj values, 6.166585879288614, obj std, 4.577922047851904 
Epoch, 12, mode, training, obj values, 5.88266788915731, obj std, 4.346221154384994 
Epoch, 12, mode, testing, obj values, 6.166290300115943, obj std, 4.570406045572068 
Epoch, 13, mode, training, obj values, 5.8956535314628855, obj std, 4.3652881105020125 
Epoch, 13, mode, testing, obj values, 6.171595895625651, obj std, 4.5829392995305165 
Epoch, 14, mode, training, obj values, 5.888243870902807, obj std, 4.357046046573116 
Epoch, 14, mode, testing, obj values, 6.167110959291458, obj std, 4.575851358514018 
Epoch, 15, mode, training, obj values, 5.886140303155408, obj std, 4.344928445964359 
Epoch, 15, mode, testing, obj values, 6.1695849582925435, obj std, 4.575169239910294 
Epoch, 16, mode, training, obj values, 5.8844949805364015, obj std, 4.349674111523109 
Epoch, 16, mode, testing, obj values, 6.174071965031326, obj std, 4.570809285323314 
Epoch, 17, mode, training, obj values, 5.8842808257555586, obj std, 4.350495931753478 
Epoch, 17, mode, testing, obj values, 6.180497430823744, obj std, 4.57373348635178 
Epoch, 18, mode, training, obj values, 5.8931875331047925, obj std, 4.357259325830992 
Epoch, 18, mode, testing, obj values, 6.178524588979781, obj std, 4.559308757684681 
Epoch, 19, mode, training, obj values, 5.887949978276156, obj std, 4.351576466710823 
Epoch, 19, mode, testing, obj values, 6.174265089295805, obj std, 4.581166263963538 
