Epoch, 0, mode, training, loss, 0.2386344565078616, loss std, 0.029581820476279 
Epoch, 0, mode, testing, loss, 0.22015813887119293, loss std, 0.03140721415148097 
Epoch, 1, mode, training, loss, 0.218010744638741, loss std, 0.027316186140045932 
Epoch, 1, mode, testing, loss, 0.20073892325162887, loss std, 0.029997842052327445 
Epoch, 2, mode, training, loss, 0.19888526741415263, loss std, 0.025651488465016345 
Epoch, 2, mode, testing, loss, 0.182865983992815, loss std, 0.02863307554437933 
Epoch, 3, mode, training, loss, 0.18139406070113182, loss std, 0.025774019141964994 
Epoch, 3, mode, testing, loss, 0.16654708795249462, loss std, 0.02731524457307605 
Epoch, 4, mode, training, loss, 0.1653724211268127, loss std, 0.024886774329862436 
Epoch, 4, mode, testing, loss, 0.1518101751804352, loss std, 0.026086893093880615 
Epoch, 5, mode, training, loss, 0.15103795593604447, loss std, 0.02359378032306104 
Epoch, 5, mode, testing, loss, 0.13853205032646657, loss std, 0.024864025716897935 
Epoch, 6, mode, training, loss, 0.1381742838770151, loss std, 0.0227917956730578 
Epoch, 6, mode, testing, loss, 0.12666324526071548, loss std, 0.02375648705336372 
Epoch, 7, mode, training, loss, 0.12680186508223415, loss std, 0.021188166960844784 
Epoch, 7, mode, testing, loss, 0.11615730300545693, loss std, 0.022706138040846455 
Epoch, 8, mode, training, loss, 0.11647155657410621, loss std, 0.020163446566533606 
Epoch, 8, mode, testing, loss, 0.10687300898134708, loss std, 0.021725709288950856 
Epoch, 9, mode, training, loss, 0.10749434307217598, loss std, 0.019387387546306152 
Epoch, 9, mode, testing, loss, 0.09874429740011692, loss std, 0.02081898468249829 
