Epoch, 0, mode, training, obj values, 2.9389421846717596, obj std, 1.2081174269061685 
Epoch, 0, mode, testing, obj values, 2.709493362903595, obj std, 1.0526888649186499 
Epoch, 1, mode, training, obj values, 2.466785423271358, obj std, 1.0981342864034875 
Epoch, 1, mode, testing, obj values, 2.200337364897132, obj std, 0.9827959267725915 
Epoch, 2, mode, training, obj values, 2.2073317877016962, obj std, 1.0266383692421395 
Epoch, 2, mode, testing, obj values, 2.0895260494202375, obj std, 0.9534688455978907 
Epoch, 3, mode, training, obj values, 2.1114236557856203, obj std, 1.0268142993644518 
Epoch, 3, mode, testing, obj values, 2.0390184093266726, obj std, 0.9584732607539751 
Epoch, 4, mode, training, obj values, 2.0888758076354863, obj std, 1.0212942526559576 
Epoch, 4, mode, testing, obj values, 2.0286589086055757, obj std, 0.9571405199878452 
Epoch, 5, mode, training, obj values, 2.0773294907063247, obj std, 1.0149272254690622 
Epoch, 5, mode, testing, obj values, 2.023894328996539, obj std, 0.9603648561728556 
Epoch, 6, mode, training, obj values, 2.065533741097897, obj std, 1.0143430101692217 
Epoch, 6, mode, testing, obj values, 2.01558992639184, obj std, 0.9615760370627838 
Epoch, 7, mode, training, obj values, 2.067728363350034, obj std, 1.0386447246913408 
Epoch, 7, mode, testing, obj values, 2.0101667776703835, obj std, 0.9627434030564884 
Epoch, 8, mode, training, obj values, 2.054037519171834, obj std, 1.0107806750218906 
Epoch, 8, mode, testing, obj values, 2.008620511740446, obj std, 0.9613922608300631 
Epoch, 9, mode, training, obj values, 2.049732454493642, obj std, 1.0069418701513557 
Epoch, 9, mode, testing, obj values, 2.0020492732524873, obj std, 0.9590303545111876 
Epoch, 10, mode, training, obj values, 2.049645935650915, obj std, 1.0098788872607962 
Epoch, 10, mode, testing, obj values, 1.99152469933033, obj std, 0.9664498554741418 
Epoch, 11, mode, training, obj values, 2.040170346852392, obj std, 1.006552400198455 
Epoch, 11, mode, testing, obj values, 1.9921310018748044, obj std, 0.9681337266934807 
Epoch, 12, mode, training, obj values, 2.038167906459421, obj std, 1.0070302204835424 
Epoch, 12, mode, testing, obj values, 1.9886987667530776, obj std, 0.9657406335383328 
Epoch, 13, mode, training, obj values, 2.03620180208236, obj std, 1.004336422729066 
Epoch, 13, mode, testing, obj values, 1.986425181105733, obj std, 0.9647269593400815 
Epoch, 14, mode, training, obj values, 2.0229881488718093, obj std, 1.0160387227649903 
Epoch, 14, mode, testing, obj values, 1.9832850754261018, obj std, 0.9638029939016605 
Epoch, 15, mode, training, obj values, 2.0336967206560077, obj std, 1.007815601611842 
Epoch, 15, mode, testing, obj values, 1.9781959347426892, obj std, 0.9665378266084504 
Epoch, 16, mode, training, obj values, 2.029081708751619, obj std, 1.00304028473613 
Epoch, 16, mode, testing, obj values, 1.9745321866124868, obj std, 0.9652756606669288 
Epoch, 17, mode, training, obj values, 2.020043922495097, obj std, 1.0049569175153976 
Epoch, 17, mode, testing, obj values, 1.9701779503375292, obj std, 0.9580179310644363 
Epoch, 18, mode, training, obj values, 2.0141539978794754, obj std, 0.9996414369835623 
Epoch, 18, mode, testing, obj values, 1.9572985846549273, obj std, 0.9548467982601194 
Epoch, 19, mode, training, obj values, 2.0057052127085626, obj std, 1.00424787805188 
Epoch, 19, mode, testing, obj values, 1.947021299600601, obj std, 0.9546163872730804 
Epoch, 20, mode, training, obj values, 2.0006055561825633, obj std, 1.0033478450697468 
Epoch, 20, mode, testing, obj values, 1.945962231606245, obj std, 0.9539802900412213 
Epoch, 21, mode, training, obj values, 1.9821643720380961, obj std, 0.9844826366608023 
Epoch, 21, mode, testing, obj values, 1.9407560896128415, obj std, 0.9611437485586368 
Epoch, 22, mode, training, obj values, 1.9919970521703363, obj std, 0.9994337795628426 
Epoch, 22, mode, testing, obj values, 1.9351530432701112, obj std, 0.9623124370498288 
Epoch, 23, mode, training, obj values, 2.00727178985253, obj std, 0.9988040027675463 
Epoch, 23, mode, testing, obj values, 1.9480604171752929, obj std, 0.9774268808840835 
Epoch, 24, mode, training, obj values, 1.9881887481547893, obj std, 0.9998978755126656 
Epoch, 24, mode, testing, obj values, 1.932573125883937, obj std, 0.9608423403700299 
Epoch, 25, mode, training, obj values, 1.9915767927654087, obj std, 1.0022911092858175 
Epoch, 25, mode, testing, obj values, 1.9312584713101386, obj std, 0.9603052656100056 
Epoch, 26, mode, training, obj values, 1.986834379006177, obj std, 0.9970129929192233 
Epoch, 26, mode, testing, obj values, 1.9312964644283057, obj std, 0.9615395700556805 
Epoch, 27, mode, training, obj values, 1.9816668186336757, obj std, 1.0013177178203618 
Epoch, 27, mode, testing, obj values, 1.9451052010059358, obj std, 0.993611747706639 
Epoch, 28, mode, training, obj values, 1.9784570966847241, obj std, 1.006118328024995 
Epoch, 28, mode, testing, obj values, 1.9213814362883568, obj std, 0.9618067726375131 
Epoch, 29, mode, training, obj values, 1.9728225423023105, obj std, 1.0006479690795291 
Epoch, 29, mode, testing, obj values, 1.9228648368269206, obj std, 0.9690283675765833 
Epoch, 30, mode, training, obj values, 1.9749730861745776, obj std, 1.007918904849767 
Epoch, 30, mode, testing, obj values, 1.9187643967568875, obj std, 0.9601992892115224 
Epoch, 31, mode, training, obj values, 1.9706830883398652, obj std, 1.0082597067246721 
Epoch, 31, mode, testing, obj values, 1.92099570594728, obj std, 0.9615795444767311 
Epoch, 32, mode, training, obj values, 1.9679285380057991, obj std, 1.0109901446318932 
Epoch, 32, mode, testing, obj values, 1.9206030137836934, obj std, 0.9614991729815725 
Epoch, 33, mode, training, obj values, 1.9598201304674148, obj std, 1.0046479384893108 
Epoch, 33, mode, testing, obj values, 1.9199299465864896, obj std, 0.963588203568964 
Epoch, 34, mode, training, obj values, 1.9616004893556238, obj std, 1.0095643994012562 
Epoch, 34, mode, testing, obj values, 1.9185931883752345, obj std, 0.9617881556371667 
Epoch, 35, mode, training, obj values, 1.9650286422111094, obj std, 1.0273108074425863 
Epoch, 35, mode, testing, obj values, 1.9163862682878972, obj std, 0.9637501786493201 
Epoch, 36, mode, training, obj values, 1.9501938180997969, obj std, 1.0071868959980674 
Epoch, 36, mode, testing, obj values, 1.917302069067955, obj std, 0.9632245098465535 
Epoch, 37, mode, training, obj values, 1.946890588197857, obj std, 1.0028527630818505 
Epoch, 37, mode, testing, obj values, 1.9146072812378407, obj std, 0.9643897936387003 
Epoch, 38, mode, training, obj values, 1.9411705862730742, obj std, 1.0013062558189196 
Epoch, 38, mode, testing, obj values, 1.9141103494912386, obj std, 0.9640118435451197 
Epoch, 39, mode, training, obj values, 1.9410717986524104, obj std, 1.0041038433560538 
Epoch, 39, mode, testing, obj values, 1.9126668114215135, obj std, 0.9645691990710781 
Epoch, 40, mode, training, obj values, 1.9412830190733075, obj std, 1.0066976543107116 
Epoch, 40, mode, testing, obj values, 1.9121676605194806, obj std, 0.9654875603675159 
Epoch, 41, mode, training, obj values, 1.9390084215439856, obj std, 1.0029524548104791 
Epoch, 41, mode, testing, obj values, 1.9139286436140537, obj std, 0.964415691230096 
Epoch, 42, mode, training, obj values, 1.9414595887064934, obj std, 1.0072390261525115 
Epoch, 42, mode, testing, obj values, 1.912607864663005, obj std, 0.9643740526444896 
Epoch, 43, mode, training, obj values, 1.9400511628948152, obj std, 1.0060330013714922 
Epoch, 43, mode, testing, obj values, 1.9123808719217776, obj std, 0.9640891023362399 
Epoch, 44, mode, training, obj values, 1.94488241430372, obj std, 1.0091153079317352 
Epoch, 44, mode, testing, obj values, 1.9118039846420287, obj std, 0.9633405274168436 
Epoch, 45, mode, training, obj values, 1.941447431407869, obj std, 1.0051421445570494 
