Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 4.602078697383404, loss std, 0.2527254004319051 
Epoch, -1, mode, testing, loss, 4.596896402835846, loss std, 0.23526681330848095 
Epoch, 0, mode, training, loss, 4.5416356202960015, loss std, 0.22766993124101528 
Epoch, 0, mode, testing, loss, 4.526049902439118, loss std, 0.1965356927009947 
Epoch, 1, mode, training, loss, 4.506350907981396, loss std, 0.22274563357213711 
Epoch, 1, mode, testing, loss, 4.5005828332901, loss std, 0.20159635694624897 
Epoch, 2, mode, training, loss, 4.486554872393608, loss std, 0.21964201992434115 
Epoch, 2, mode, testing, loss, 4.47719224691391, loss std, 0.19873075245349595 
Epoch, 3, mode, training, loss, 4.460920167565345, loss std, 0.21824650955558428 
Epoch, 3, mode, testing, loss, 4.448417983055115, loss std, 0.2019036508257618 
Epoch, 4, mode, training, loss, 4.430093587934971, loss std, 0.21846201638575655 
Epoch, 4, mode, testing, loss, 4.422479614019394, loss std, 0.2005864624746518 
Epoch, 5, mode, training, loss, 4.392297863960266, loss std, 0.2249053531388495 
Epoch, 5, mode, testing, loss, 4.381785634756088, loss std, 0.20609161961623748 
Epoch, 6, mode, training, loss, 4.347351191043853, loss std, 0.22583938989617008 
Epoch, 6, mode, testing, loss, 4.333924461603164, loss std, 0.20292985635268987 
Epoch, 7, mode, training, loss, 4.291350738108158, loss std, 0.23885139245475517 
Epoch, 7, mode, testing, loss, 4.296336114406586, loss std, 0.21993632812702335 
Epoch, 8, mode, training, loss, 4.233021742105484, loss std, 0.24658948559824903 
Epoch, 8, mode, testing, loss, 4.217422230243683, loss std, 0.23346659352871682 
Epoch, 9, mode, training, loss, 4.1691038206219675, loss std, 0.2636868326665296 
Epoch, 9, mode, testing, loss, 4.159404593706131, loss std, 0.25362182195033767 
