Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 4.190464816490809, loss std, 0.26346741473159485 
Epoch, -1, mode, testing, loss, 4.200693047046661, loss std, 0.21481447884720817 
Epoch, 0, mode, training, loss, 4.16583467523257, loss std, 0.24459592955952192 
Epoch, 0, mode, testing, loss, 4.162947432200114, loss std, 0.1860798421990232 
Epoch, 1, mode, training, loss, 4.132662781079611, loss std, 0.2250243509452359 
Epoch, 1, mode, testing, loss, 4.154323220252991, loss std, 0.18021749073970283 
Epoch, 2, mode, training, loss, 4.121223909656207, loss std, 0.22225723912939394 
Epoch, 2, mode, testing, loss, 4.154729449748993, loss std, 0.1850553069932982 
Epoch, 3, mode, training, loss, 4.115992557009061, loss std, 0.22394368675947884 
Epoch, 3, mode, testing, loss, 4.149283440907796, loss std, 0.18658423598016063 
Epoch, 4, mode, training, loss, 4.112029405434926, loss std, 0.22027426064418396 
Epoch, 4, mode, testing, loss, 4.148690199851989, loss std, 0.1834737128582259 
Epoch, 5, mode, training, loss, 4.1087120324373245, loss std, 0.21519247811894415 
Epoch, 5, mode, testing, loss, 4.142952648798625, loss std, 0.18345431853907257 
Epoch, 6, mode, training, loss, 4.105880028009414, loss std, 0.21682655884043364 
Epoch, 6, mode, testing, loss, 4.14373642206192, loss std, 0.1854742064101793 
Epoch, 7, mode, training, loss, 4.103215003013611, loss std, 0.21760190743617794 
Epoch, 7, mode, testing, loss, 4.14139990011851, loss std, 0.18408289271128453 
Epoch, 8, mode, training, loss, 4.1000645389159525, loss std, 0.2140504188216985 
Epoch, 8, mode, testing, loss, 4.135771437486013, loss std, 0.18639293642043453 
Epoch, 9, mode, training, loss, 4.095853236317635, loss std, 0.21736655300107321 
Epoch, 9, mode, testing, loss, 4.133606338500977, loss std, 0.18274096869513815 
