Epoch, -2, mode, training, obj values, 10.115449920669198, obj std, 7.559873203469047 
Epoch, -2, mode, testing, obj values, 10.130567504763603, obj std, 6.9897273501898765 
Epoch, -1, mode, training, obj values, 11.092775653526187, obj std, 7.783339016403904 
Epoch, -1, mode, testing, obj values, 11.023180140554905, obj std, 7.349969762635609 
Epoch, 0, mode, training, obj values, 11.03438559256494, obj std, 7.738077821000628 
Epoch, 0, mode, testing, obj values, 10.908386694788932, obj std, 7.277549419712138 
Epoch, 1, mode, training, obj values, 11.062162406519056, obj std, 7.729208603084864 
Epoch, 1, mode, testing, obj values, 10.866299009919167, obj std, 7.250588554794151 
Epoch, 2, mode, training, obj values, 11.024661049470305, obj std, 7.7134080300212196 
Epoch, 2, mode, testing, obj values, 10.929078277647495, obj std, 7.299303862778647 
Epoch, 3, mode, training, obj values, 11.037538401708007, obj std, 7.7126571231366 
Epoch, 3, mode, testing, obj values, 10.872992712557316, obj std, 7.251412118227525 
Epoch, 4, mode, training, obj values, 11.043501641452313, obj std, 7.6916854167887205 
Epoch, 4, mode, testing, obj values, 10.894467135965824, obj std, 7.256307477435465 
Epoch, 5, mode, training, obj values, 11.024262774586678, obj std, 7.70904098595521 
Epoch, 5, mode, testing, obj values, 10.857673219144344, obj std, 7.249499868848501 
Epoch, 6, mode, training, obj values, 10.998604239225388, obj std, 7.701362295138942 
Epoch, 6, mode, testing, obj values, 10.870410834252834, obj std, 7.250902425491766 
Epoch, 7, mode, training, obj values, 10.99303948879242, obj std, 7.715621333767889 
Epoch, 7, mode, testing, obj values, 10.845889155268669, obj std, 7.260886047591768 
Epoch, 8, mode, training, obj values, 10.944591986313462, obj std, 7.716399587686036 
Epoch, 8, mode, testing, obj values, 10.907810005247592, obj std, 7.256247394993963 
Epoch, 9, mode, training, obj values, 10.946325705274939, obj std, 7.6976761482943665 
Epoch, 9, mode, testing, obj values, 10.826579954922199, obj std, 7.2493352715653385 
